Date;Total_steps;Floors_climbed;Calories_burned;Elevation_gained;Traveled;Sedentary;Lightly_active;Fairly_active;Very_active
 January 4, 2015; 14028;0; 2947;0; 8.42; 1015; 237; 150; 38
 January 4, 2015; 14167;0; 2961;0; 8.5; 1010; 239; 153; 38
 January 5, 2015; 14997;0; 3001;0; 9; 1028; 227; 124; 61
 January 6, 2015; 11719;0; 2738;0; 7.03; 1104; 192; 97; 47
 January 6, 2015; 11729;0; 2740;0; 7.04; 1103; 193; 97; 47
 January 7, 2015; 10792;0; 2687;0; 6.48; 1114; 199; 85; 42
 January 7, 2015; 10935;0; 2701;0; 6.57; 1108; 203; 87; 42
 January 8, 2015; 10983;0; 2687;0; 6.6; 1103; 186; 115; 36
 January 9, 2015; 10282;0; 2694;0; 6.17; 1093; 213; 97; 37
 January 10, 2015; 9764;0; 2700;0; 5.86; 1044; 271; 106; 19
 January 10, 2015; 9884;0; 2719;0; 5.93; 1035; 279; 107; 19
 January 11, 2015; 6764;0; 2389;0; 4.06; 1176; 177; 72; 15
 January 11, 2015; 7551;0; 2524;0; 4.53; 1124; 221; 80; 15
 January 12, 2015; 7044;0; 2390;0; 4.23; 1161; 182; 81; 16
 January 12, 2015; 12483;0; 2854;0; 7.49; 1033; 244; 126; 37
 January 13, 2015; 10004;0; 2620;0; 6; 1145; 168; 87; 40
 January 13, 2015; 10090;0; 2633;0; 6.05; 1139; 173; 88; 40
 January 14, 2015; 8038;0; 2458;0; 4.82; 1210; 132; 63; 35
 January 15, 2015; 7123;0; 2400;0; 4.27; 1212; 142; 61; 25
 January 16, 2015; 5158;0; 2278;0; 3.09; 1235; 142; 55; 8
 January 16, 2015; 5197;0; 2280;0; 3.12; 1234; 143; 55; 8
 January 17, 2015; 14477;0; 2873;0; 8.69; 1085; 171; 128; 56
 January 18, 2015; 10492;0; 2559;0; 6.3; 1179; 130; 86; 45
 January 18, 2015; 10518;0; 2563;0; 6.31; 1178; 131; 86; 45
 January 19, 2015; 4475;0; 2118;0; 2.69; 1308; 63; 55; 14
 January 19, 2015; 5534;0; 2272;0; 3.32; 1250; 109; 67; 14
 January 20, 2015; 7581;0; 2412;0; 4.55; 1214; 123; 79; 24
 January 21, 2015; 8895;0; 2537;0; 5.34; 1177; 150; 82; 31
 January 21, 2015; 8931;0; 2543;0; 5.36; 1174; 153; 82; 31
 January 22, 2015; 9264;0; 2551;0; 5.56; 1175; 147; 84; 34
 January 22, 2015; 9307;0; 2557;0; 5.58; 1173; 148; 85; 34
 January 23, 2015; 10068;0; 2614;0; 6.04; 1179; 148; 63; 50
 January 24, 2015; 8917;0; 2534;0; 5.35; 1161; 170; 82; 27
 January 24, 2015; 9178;0; 2561;0; 5.51; 1151; 175; 87; 27
 January 25, 2015; 12948;0; 2837;0; 7.77; 1087; 200; 102; 51
 January 26, 2015; 10706;0; 2639;0; 6.42; 1160; 139; 102; 39
 January 27, 2015; 6054;0; 2374;0; 3.63; 1213; 144; 69; 14
 January 27, 2015; 6136;0; 2383;0; 3.68; 1209; 147; 70; 14
 January 28, 2015; 10010;0; 2574;0; 6.01; 1189; 138; 66; 47
 January 29, 2015; 10713;0; 2602;0; 6.43; 1194; 114; 81; 51
 January 30, 2015; 9735;0; 2593;0; 5.84; 1190; 135; 69; 46
 January 31, 2015; 2194; 0; 2621; 0; 1.32; 1179; 131; 130; 0
 January 31, 2015; 2207; 0; 2632; 0; 1.32; 1178; 132; 130; 0
 February 1, 2015; 11188; 18; 2845; 54.86; 6.71; 648; 222; 20; 55
 February 2, 2015; 7125; 13; 2486; 39.62; 4.27; 779; 230; 11; 13
