Body,,,,,,,,Foods,,,Activities,,,,,,,,,,,Sleep,,,,
Date,Weight,BMI,Fat,Blood Pressure,Normal Heart Rate,Glucose (Morning),,Date,Calories In,,Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,,Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
1/10/13,88.18,27.52,27.899,0/0,0,0,,1/10/13,0,,1/10/13,"2,565",0,0,0,"1,440",0,0,0,0,,1/10/13,0,0,0,0
2/10/13,88.14,27.51,27.899,0/0,0,0,,2/10/13,0,,2/10/13,"2,566",0,0,0,"1,440",0,0,0,0,,2/10/13,0,0,0,0
3/10/13,88.1,27.5,27.899,0/0,0,0,,3/10/13,0,,3/10/13,"2,566",0,0,0,"1,440",0,0,0,0,,3/10/13,0,0,0,0
4/10/13,88.06,27.48,27.899,0/0,0,0,,4/10/13,0,,4/10/13,"2,566",0,0,0,"1,440",0,0,0,0,,4/10/13,0,0,0,0
5/10/13,87.9,27.43,27.899,0/0,0,0,,5/10/13,0,,5/10/13,"2,565",0,0,0,"1,440",0,0,0,0,,5/10/13,0,0,0,0
6/10/13,87.8,27.4,27.757,0/0,0,0,,6/10/13,0,,6/10/13,"2,566",0,0,0,"1,440",0,0,0,0,,6/10/13,0,0,0,0
7/10/13,87.7,27.37,27.615,0/0,0,0,,7/10/13,0,,7/10/13,"2,566",0,0,0,"1,440",0,0,0,0,,7/10/13,0,0,0,0
8/10/13,87.6,27.34,27.473,0/0,0,0,,8/10/13,0,,8/10/13,"2,566",0,0,0,"1,440",0,0,0,0,,8/10/13,0,0,0,0
9/10/13,87.5,27.31,27.331,0/0,0,0,,9/10/13,0,,9/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,9/10/13,0,0,0,0
10/10/13,87.4,27.28,27.189,0/0,0,0,,10/10/13,0,,10/10/13,"2,556",0,0,0,"1,440",0,0,0,0,,10/10/13,0,0,0,0
11/10/13,87.3,27.25,27.047,0/0,0,0,,11/10/13,0,,11/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,11/10/13,0,0,0,0
12/10/13,87.2,27.22,26.899,0/0,0,0,,12/10/13,0,,12/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,12/10/13,0,0,0,0
13/10/13,87.18,27.21,26.949,0/0,0,0,,13/10/13,0,,13/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,13/10/13,0,0,0,0
14/10/13,87.15,27.2,26.999,0/0,0,0,,14/10/13,0,,14/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,14/10/13,0,0,0,0
15/10/13,87.13,27.19,27.049,0/0,0,0,,15/10/13,0,,15/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,15/10/13,0,0,0,0
16/10/13,87.1,27.18,27.099,0/0,0,0,,16/10/13,0,,16/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,16/10/13,0,0,0,0
17/10/13,87.08,27.18,27.149,0/0,0,0,,17/10/13,0,,17/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,17/10/13,0,0,0,0
18/10/13,87.05,27.17,27.199,0/0,0,0,,18/10/13,0,,18/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,18/10/13,0,0,0,0
19/10/13,87.03,27.16,27.249,0/0,0,0,,19/10/13,0,,19/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,19/10/13,0,0,0,0
20/10/13,87,27.15,27.299,0/0,0,0,,20/10/13,0,,20/10/13,"2,556",0,0,0,"1,440",0,0,0,0,,20/10/13,0,0,0,0
21/10/13,86.98,27.14,27.349,0/0,0,0,,21/10/13,0,,21/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,21/10/13,0,0,0,0
22/10/13,86.95,27.14,27.399,0/0,0,0,,22/10/13,0,,22/10/13,"2,555",0,0,0,"1,440",0,0,0,0,,22/10/13,0,0,0,0
23/10/13,86.93,27.13,27.449,0/0,0,0,,23/10/13,0,,23/10/13,"2,547",0,0,0,"1,440",0,0,0,0,,23/10/13,0,0,0,0
24/10/13,86.9,27.12,27.499,0/0,0,0,,24/10/13,0,,24/10/13,"2,547",0,0,0,"1,440",0,0,0,0,,24/10/13,0,0,0,0
25/10/13,86.88,27.11,27.549,0/0,0,0,,25/10/13,0,,25/10/13,"2,547",0,0,0,"1,440",0,0,0,0,,25/10/13,0,0,0,0
26/10/13,86.85,27.11,27.599,0/0,0,0,,26/10/13,0,,26/10/13,"2,547",0,0,0,"1,440",0,0,0,0,,26/10/13,0,0,0,0
27/10/13,86.83,27.1,27.649,0/0,0,0,,27/10/13,0,,27/10/13,"2,547",0,0,0,"1,440",0,0,0,0,,27/10/13,0,0,0,0
28/10/13,86.8,27.09,27.699,0/0,0,0,,28/10/13,0,,28/10/13,"2,547",0,0,0,"1,440",0,0,0,0,,28/10/13,0,0,0,0
29/10/13,86.78,27.08,27.749,0/0,0,0,,29/10/13,0,,29/10/13,"2,547",0,0,0,"1,440",0,0,0,0,,29/10/13,0,0,0,0
30/10/13,86.75,27.07,27.799,0/0,0,0,,30/10/13,0,,30/10/13,"2,547",0,0,0,"1,440",0,0,0,0,,30/10/13,0,0,0,0
31/10/13,86.73,27.07,27.849,0/0,0,0,,31/10/13,0,,31/10/13,"2,547",0,0,0,"1,440",0,0,0,0,,31/10/13,0,0,0,0
1/11/13,86.7,27.06,27.899,0/0,0,0,,1/11/13,0,,1/11/13,"2,547",0,0,0,"1,440",0,0,0,0,,1/11/13,0,0,0,0
2/11/13,86.68,27.05,27.949,0/0,0,0,,2/11/13,0,,2/11/13,"2,547",0,0,0,"1,440",0,0,0,0,,2/11/13,0,0,0,0
