Date;Calories;Carbs;Fat;Protein;Cholest;Sodium;Sugars;Fiber;Exercise;FB Cals;FB BMR?
19-Aug-14;2663;262;113;112;212;2001;22;43;242;2301;2059
20-Aug-14;2515;83;48;76;460;1126;0;0;202;2654;2452
21-Aug-14;2089;71;27;20;25;1006;8;5;322;2833;2511
22-Aug-14;2975;57;67;66;100;646;0;3;127;1972;1845
23-Aug-14;3824;233;151;93;33;1621;52;63;943;3370;2427
24-Aug-14;2312;131;18;24;13;669;20;7;688;3127;2439
25-Aug-14;2394;138;39;45;442;1646;4;9;411;2857;2446
26-Aug-14;2752;138;40;51;229;756;39;23;668;3118;2450
27-Aug-14;1843;35;17;13;32;884;4;2;350;2792;2442
28-Aug-14;2176;99;27;43;50;1607;1;6;703;3137;2434
29-Aug-14;2607;205;36;67;198;2715;35;6;321;2157;1836
30-Aug-14;2623;160;30;35;359;1473;6;14;853;3284;2431
31-Aug-14;1614;52;11;32;76;703;15;5;407;2839;2432
1-Sep-14;2334;69;61;73;102;892;21;22;437;2869;2432
2-Sep-14;2367;77;48;90;171;1611;18;6;405;2828;2423
3-Sep-14;2303;120;39;65;44;1589;30;13;682;3095;2413
4-Sep-14;2177;75;21;63;82;1586;3;7;595;3004;2409
5-Sep-14;2822;159;54;80;528;1983;4;4;565;2973;2408
6-Sep-14;2348;143;23;32;13;1045;8;8;455;2863;2408
7-Sep-14;1756;25;4;35;125;805;2;0;0;2296;2296
8-Sep-14;1866;156;11;32;41;1011;25;8;902;3309;2407
9-Sep-14;2421;162;38;48;23;3633;27;16;640;3052;2412
10-Sep-14;2564;88;25;65;40;1569;9;4;395;2810;2415
11-Sep-14;2213;95;28;57;340;1149;19;8;454;2861;2407
12-Sep-14;2565;169;38;78;178;2195;28;3;469;2875;2406
13-Sep-14;2498;70;55;100;237;770;22;5;206;2612;2406
14-Sep-14;2888;184;45;88;322;2767;32;14;581;2982;2401
15-Sep-14;2119;115;30;39;424;797;4;3;804;3201;2397
16-Sep-14;2348;174;18;46;48;1015;27;16;447;2838;2391
17-Sep-14;3103;127;98;113;20;2073;14;28;502;2897;2395
18-Sep-14;2391;284;14;50;144;1697;19;10;339;2735;2396
19-Sep-14;2456;150;18;33;44;2132;1;4;405;2801;2396
20-Sep-14;2682;216;47;58;0;1735;11;6;869;3267;2398
21-Sep-14;2144;220;32;62;108;3059;12;2;560;2700;2140
22-Sep-14;2212;165;26;46;148;1644;37;6;852;2988;2136
23-Sep-14;2035;44;8;50;188;1641;11;2;713;2848;2135
24-Sep-14;2312;142;46;79;23;2723;5;13;122;2257;2135
25-Sep-14;2178;93;36;42;56;2540;18;4;661;2796;2135
26-Sep-14;2483;222;31;94;39;1811;27;20;682;2814;2132
27-Sep-14;3022;236;85;117;236;1451;41;22;718;2849;2131
28-Sep-14;2642;205;25;84;54;2343;11;7;891;3022;2131
29-Sep-14;2316;292;26;73;192;2979;28;9;838;2969;2131
30-Sep-14;2511;249;18;54;39;1220;14;10;855;2983;2128
1-Oct-14;2573;249;17;53;197;2821;24;9;1011;3137;2126
2-Oct-14;2839;224;44;40;68;1407;33;9;884;3011;2127
3-Oct-14;3004;230;41;46;111;2013;16;16;644;2769;2125
4-Oct-14;2572;213;23;58;88;1477;14;4;597;2723;2126
5-Oct-14;2940;319;22;99;31;1919;29;25;864;2988;2124
6-Oct-14;2111;290;19;67;80;2850;11;18;712;2836;2124
7-Oct-14;2755;345;19;56;245;1812;19;29;756;2880;2124
8-Oct-14;2296;266;15;56;40;1961;12;12;938;3058;2120
9-Oct-14;2364;182;12;48;39;1459;8;2;814;2933;2119
10-Oct-14;2535;250;43;56;258;2087;12;12;803;2921;2118
11-Oct-14;2035;117;26;43;36;1528;13;4;756;2874;2118
12-Oct-14;2361;243;17;52;8;2262;5;12;905;3019;2114
13-Oct-14;2217;237;8;41;112;2241;18;8;1136;3248;2112
14-Oct-14;2425;187;31;65;160;2607;20;9;905;3017;2112
15-Oct-14;2931;198;57;110;228;1527;36;11;859;2968;2109
16-Oct-14;2304;223;22;81;161;3055;16;13;860;2968;2108
17-Oct-14;2474;284;22;52;88;3350;11;6;856;2965;2109
18-Oct-14;2553;257;25;41;64;2480;21;9;1266;3373;2107
19-Oct-14;2315;235;15;35;6;1205;28;12;799;2906;2107
