#Date;Calories;Carbs;Fat;Protein;Cholest;Sodium;Sugars;Fiber;Exercise;FB Cals;FB BMR?;Cin_Fact;TDEE Fact.;Cin/Cout;Cin/Cout (3 days);7 day CalD;7 day Carbs;7 day Weight;avail. Wt;Average;Dy Weight
Tue, 19-Aug-14;2,663;262;113;112;212;2,001;22;43;242;2,301;2,059;1.00;1.12;116%;;0.00;;;85.50;#DIV/0!;#N/A
Wed, 20-Aug-14;2,515;83;48;76;460;1,126;0;0;202;2,654;2,452;1.00;1.08;95%;;362.00;430.00;85.50;85.50;#DIV/0!;#N/A
Thu, 21-Aug-14;2,089;71;27;20;25;1,006;8;5;322;2,833;2,511;1.00;1.13;74%;93%;111.50;215.00;85.50;85.50;#DIV/0!;#N/A
Fri, 22-Aug-14;2,975;57;67;66;100;646;0;3;127;1,972;1,845;1.00;1.07;151%;102%;-173.67;160.00;85.50;85.50;#DIV/0!;#N/A
Sat, 23-Aug-14;3,824;233;151;93;33;1,621;52;63;943;3,370;2,427;1.00;1.39;113%;109%;120.50;127.50;85.50;83.40;83.40;83.40
Sun, 24-Aug-14;2,312;131;18;24;13;669;20;7;688;3,127;2,439;1.00;1.28;74%;108%;187.20;228.00;85.08;83.80;83.80;83.80
Mon, 25-Aug-14;2,394;138;39;45;442;1,646;4;9;411;2,857;2,446;1.00;1.17;84%;91%;20.17;201.67;84.87;83.80;#DIV/0!;#N/A
Tue, 26-Aug-14;2,752;138;40;51;229;756;39;23;668;3,118;2,450;1.00;1.27;88%;82%;-48.86;185.71;84.71;83.80;#DIV/0!;#N/A
Wed, 27-Aug-14;1,843;35;17;13;32;884;4;2;350;2,792;2,442;1.00;1.14;66%;80%;-152.86;157.14;84.47;83.80;#DIV/0!;#N/A
Thu, 28-Aug-14;2,176;99;27;43;50;1,607;1;6;703;3,137;2,434;1.00;1.29;69%;75%;-268.57;160.00;84.23;83.80;#DIV/0!;#N/A
Fri, 29-Aug-14;2,607;205;36;67;198;2,715;35;6;321;2,157;1,836;1.00;1.17;121%;82%;-299.57;161.43;83.99;83.80;#DIV/0!;#N/A
Sat, 30-Aug-14;2,623;160;30;35;359;1,473;6;14;853;3,284;2,431;1.00;1.35;80%;86%;-378.57;165.71;83.74;83.95;83.83;83.83
Sun, 31-Aug-14;1,614;52;11;32;76;703;15;5;407;2,839;2,432;1.00;1.17;57%;83%;-537.86;95.71;83.82;83.95;#DIV/0!;#N/A
Mon, 1-Sep-14;2,334;69;61;73;102;892;21;22;437;2,869;2,432;1.00;1.18;81%;73%;-596.43;92.86;83.84;83.95;#DIV/0!;#N/A
Tue, 2-Sep-14;2,367;77;48;90;171;1,611;18;6;405;2,828;2,423;1.00;1.17;84%;74%;-606.71;111.43;83.86;83.95;#DIV/0!;#N/A
Wed, 3-Sep-14;2,303;120;39;65;44;1,589;30;13;682;3,095;2,413;1.00;1.28;74%;80%;-620.29;87.14;83.89;83.95;#DIV/0!;#N/A
Thu, 4-Sep-14;2,177;75;21;63;82;1,586;3;7;595;3,004;2,409;1.00;1.25;72%;77%;-597.86;102.86;83.91;83.35;83.35;83.35
Fri, 5-Sep-14;2,822;159;54;80;528;1,983;4;4;565;2,973;2,408;1.00;1.23;95%;80%;-578.71;104.29;83.84;83.35;#DIV/0!;#N/A
Sat, 6-Sep-14;2,348;143;23;32;13;1,045;8;8;455;2,863;2,408;1.00;1.19;82%;83%;-664.57;101.43;83.78;83.25;83.25;83.25
